address,neighborhood,listed_price,house_sqft,lot_sqft,n_bedrooms,n_bathrooms,date_seen,lat,lon
15340 Stone Ave N,Parkwood,600000,1770,8595,3,1.75,8/18/19,47.6635722,-122.3421066
14342 Wayne Pl N,Parkwood,590000,1550,5250,3,2,8/17/19,47.73357965,-122.335041716547
13339 11th Ave NE,Olympic Hills,585000,1980,7500,4,1.75,8/17/19,47.7260268,-122.317077059437
12503 14th Ave NE,Pinehurst,618000,1880,5111,4,1.75,8/17/19,47.71960775,-122.314347299227
10005 21st Ave NE,Morningside,579000,1780,6533,4,1.75,8/17/19,47.70149315,-122.306109285349
534 NE 89th St,Mapleleaf,589000,1500,6380,3,1.75,8/17/19,47.69331305,-122.321468477085
8848 Wallingford Ave N,Licton Springs,500000,1820,7476,3,1.5,8/11/19,47.69368145,-122.336091252965
2720 NE 103rd St,Meadowbrook,575000,2553,6000,4,2.25,8/11/19,47.7032734,-122.297727748966
3543 NE 88th St,Wedgwood,600000,1760,5100,2,1.75,8/11/19,47.6921782,-122.288606911711
705 N 100th St,Greenwood,500000,1550,5594,3,1,8/10/19,47.70123855,-122.34960931643
10502 N Park Avenue N,Greenwood,597000,1520,2790,3,1.75,8/3/19,47.70521615,-122.3484316
2306 NE 135th St,Olympic Hills,625000,1670,10214,3,2,8/1/19,47.72675045,-122.302892418899
13047 25th Ave NE,Olympic Hills,615000,1750,8794,3,2,8/1/19,47.72444005,-122.302264651649
12054 8th Ave NE,Pinehurst,600000,1450,5600,3,1.5,8/1/19,47.7174626,-122.320492037477
9250 2nd Ave NW,Greenwood,550000,1218,6350,2,2,8/1/19,47.6975504,-122.359083387511
10710 C Whitman Ave N,Greenwood,550000,1700,2908,3,2,8/1/19,47.7070841,-122.345747278719
9211 9th Ave NW,Crown Hill,560000,1550,5418,3,2,7/28/19,47.69641835,-122.3691257
12057 2nd Ave NE,Pinehurst,500000,950,6000,3,1,7/28/19,47.71753135,-122.327789174609
11743 22nd Ave NE,Victory Heights,585000,1550,6886,3,2,7/28/19,47.71515695,-122.30611155
2034 NE 103rd St,Victory Heights,600000,1900,9570,3,1,7/28/19,47.70319755,-122.305510895834
11721 7th Ave NE,Pinehurst,600000,1130,7200,3,1.5,7/28/19,47.7146914,-122.322258794585
9703 20th Ave NE,Mapleleaf,550000,1450,5460,2,2,7/27/19,47.6995682,-122.307204101011
11720 8th Ave NE,Pinehurst,600000,1100,9212,2,1,7/27/19,47.71468495,-122.320438765888
4003 NE 135th St,Cedar Park,539000,880,6171,2,1,7/27/19,47.72623245,-122.285160295641
134 N 136th St,Broadview,550000,1600,8137,3,2,7/27/19,47.72844525,-122.356734802015
13739 1st Ave NW,Broadview,600000,1450,6534,3,2,7/27/19,47.7298082,-122.358584694033
6517 27th Avenue NW,Ballard,600000,900,4182,2,1,7/24/19,47.67646625,-122.391047657614
9202 20th Ave NE,Mapleleaf,600000,1390,5376,3,1.75,7/20/19,47.69587575,-122.306484995924
9527 Evanston Ave N,Greenwood,605000,1460,6973,3,1,7/20/19,47.698691,-122.351622374545
513 NE 79th St,Mapleleaf,500000,1410,1924,2,1,7/14/19,47.68586095,-122.322257731658
11515 25th Ave NE,Victory Heights,580000,1389,7840,3,2,7/13/19,47.71258315,-122.302057143649
536 N 84th St,Greenwood,485000,770,6300,2,0.75,7/13/19,47.6900188,-122.3509551
7041 35th Ave NE,Bryant,525000,900,1143,2,1,7/13/19,47.6806135,-122.2906078
8225 17th Ave NE,Mapleleaf,650000,1460,7600,4,2.5,7/6/19,47.6893169,-122.310336366308
333 N 103rd St ,Greenwood,500000,820,3844,2,1,7/6/19,47.70345555,-122.353908411272
10317 Linden Ave N,Greenwood,525000,940,4114,2,1,7/6/19,47.70417275,-122.34763002685
